CURSO;COMPONENTE CURRICULAR ;ETAPA;Jan;DIA;Horário;Verificação;PROFESSOR;Fev;DIA;Horário;Verificação;Mar;DIA;Horário;Verificação;Abr;DIA;Horário;Verificação;Mai;DIA;Horário;Verificação;Jun;DIA;Horário;Verificação;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;AVALIAÇÕES INTERMEDIÁRIAS 2;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;3- Avaliação;INTERMEDIÁRIAS 2;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;AVALIAÇÕES SUBSTITUTIVAS;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;11- Substitutiva;SUBSTITUTIVAS;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;AVALIAÇÕES SUBSTITUTIVAS;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;12- Substitutiva;SUBSTITUTIVAS;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;AVALIAÇÕES SUBSTITUTIVAS;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;13- Substitutiva;SUBSTITUTIVAS;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;AVALIAÇÕES FINAIS;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;22- Finais;AVALIAÇÕES FINAIS;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;AVALIAÇÕES FINAIS;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;23- Finais;AVALIAÇÕES FINAIS;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;AVALIAÇÕES FINAIS;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;24- Finais;AVALIAÇÕES FINAIS;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;FECHAMENTO DAS NOTAS;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
FERIADOS;;;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;CARNAVAL E CINZAS;GERAL;;;;;;Fev;feriado; 16a18: carnaval;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;SEXTA FEIRA SANTA;GERAL;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;feriado;3: sexta feira santa;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;TIRADENTES;GERAL;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;feriado;20a21:  tiradentes;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;DIA DO TRABALHO;GERAL;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;feriado;1: Dia do Trabalho;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;Corpus Christi;GERAL;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;feriado;4: Corpus Christi;? OK;;;;;;;;;;;;;;;;;;;;;
ATRIBUIÇÕES;;;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO DE RECURSOS HUMANOS;CLIMA ORGANIZACIONAL;1;;;;;ALMIR MARTINS VIEIRA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO DE RECURSOS HUMANOS;CLIMA ORGANIZACIONAL;1;;;;;ALMIR MARTINS VIEIRA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO DE RECURSOS HUMANOS;CLIMA ORGANIZACIONAL;1;;;;;ALMIR MARTINS VIEIRA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO DE RECURSOS HUMANOS;CLIMA ORGANIZACIONAL;1;;;;;ALMIR MARTINS VIEIRA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
EIXO COMUM;ADMINISTRACAO CONTEMPORANEA;1;Jan;;;? OK;CLAUDIA FERNANDA FRANCESCHI KLEMENT;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
EIXO COMUM;ADMINISTRACAO CONTEMPORANEA;1;Jan;;;? OK;CLAUDIA FERNANDA FRANCESCHI KLEMENT;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
EIXO COMUM;ADMINISTRACAO CONTEMPORANEA;1;Jan;;;? OK;CLAUDIA FERNANDA FRANCESCHI KLEMENT;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
EIXO COMUM;ADMINISTRACAO CONTEMPORANEA;1;Jan;;;? OK;CLAUDIA FERNANDA FRANCESCHI KLEMENT;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO COMERCIAL;DIREITOS DO CONSUMIDOR;1;Jan;;;? OK;FABIO DANIEL ROMANELLO VASQUES ;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO COMERCIAL;DIREITOS DO CONSUMIDOR;1;Jan;;;? OK;FABIO DANIEL ROMANELLO VASQUES ;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO COMERCIAL;DIREITOS DO CONSUMIDOR;1;Jan;;;? OK;FABIO DANIEL ROMANELLO VASQUES ;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO COMERCIAL;DIREITOS DO CONSUMIDOR;1;Jan;;;? OK;FABIO DANIEL ROMANELLO VASQUES ;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
EIXO COMUM;PRINCIPIOS DE MARKETING;1;Jan;;;? OK;KAREN PERROTTA LOPES DE ALMEIDA PRADO;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
EIXO COMUM;PRINCIPIOS DE MARKETING;1;Jan;;;? OK;KAREN PERROTTA LOPES DE ALMEIDA PRADO;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
EIXO COMUM;PRINCIPIOS DE MARKETING;1;Jan;;;? OK;KAREN PERROTTA LOPES DE ALMEIDA PRADO;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
EIXO COMUM;PRINCIPIOS DE MARKETING;1;Jan;;;? OK;KAREN PERROTTA LOPES DE ALMEIDA PRADO;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
EIXO COMUM;COMPORTAMENTO ORGANIZACIONAL;1;Jan;;;? OK;NATACHA BERTOIA DA SILVA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
EIXO COMUM;COMPORTAMENTO ORGANIZACIONAL;1;Jan;;;? OK;NATACHA BERTOIA DA SILVA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
